"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.009411674924194813,2.451121091842651,-0.4027073681354523,0.009411675291478043,2.451121010041507,-0.4027073559066287,26.0,1.0,22.0,2.484,3233997624.0,3233997624.0,-9.3299999
0.01003335509449244,2.499416351318359,-0.3512729108333588,0.01003335464177537,2.499416467243226,-0.3512729068232052,28.0,3.0,23.0,2.524,3233997627.0,3233997627.0,-8.0
0.009039063937962055,2.157905101776123,-1.147388458251953,0.009039064132747299,2.157904985547887,-1.147388499448717,1.0,4.0,24.0,2.444,3233997628.0,3233997628.0,-28.0
0.01112913805991411,2.550594568252563,-0.2982749938964844,0.01112913848917641,2.550594473489298,-0.2982749974140251,28.0,5.0,25.0,2.568,3233997629.0,3233997629.0,-6.6700001
0.002757429843768477,0.6076461672782898,-0.3052187860012054,0.002757429838623051,0.6076461831179948,-0.3052187948387476,5.0,6.0,26.0,0.68,3233997630.0,3233997630.0,-26.67
0.01224610954523087,2.59868597984314,-0.2424479424953461,0.01224611000867221,2.598686019196656,-0.2424479457976345,26.0,7.0,27.0,2.61,3233997631.0,3233997631.0,-5.3299999
0.004399400670081377,0.9002324938774109,-0.426119863986969,0.004399400835443496,0.9002324772550114,-0.4261198565751125,6.0,8.0,28.0,0.996,3233997632.0,3233997632.0,-25.33
0.01296749524772167,2.653488636016846,-0.1855522245168686,0.01296749522599531,2.653488688059833,-0.1855522201593733,25.0,9.0,28.0,2.66,3233997634.0,3233997634.0,-4.0
0.01016322057694197,2.007947206497192,-0.89400714635849,0.01016322082101131,2.007947195501967,-0.8940071414806087,22.0,10.0,29.0,2.198,3233997635.0,3233997635.0,-24.0
0.01414267625659704,2.701027631759644,-0.1259615868330002,0.0141426762653246,2.701027519738102,-0.1259615906754576,25.0,11.0,30.0,2.704,3233997636.0,3233997636.0,-2.6700001
0.01105334982275963,2.042916536331177,-0.8533264398574829,0.01105334987687927,2.042916508480105,-0.8533264104877781,24.0,12.0,31.0,2.214,3233997637.0,3233997637.0,-22.67
0.01537701394408941,2.753215074539185,-0.06392252445220947,0.01537701387991048,2.75321511289452,-0.06392252790177001,25.0,13.0,32.0,2.754,3233997638.0,3233997638.0,-1.33
0.01194255799055099,2.073486566543579,-0.8096830248832703,0.01194255764118349,2.073486615616475,-0.8096830430337068,31.0,14.0,33.0,2.226,3233997639.0,3233997639.0,-21.33
0.01613827235996723,2.801953554153442,0.0,0.01613827223576636,2.801953524983818,0.0,27.0,15.0,33.0,2.802,3233997641.0,3233997641.0,0.0
0.01251302752643824,2.108633041381836,-0.7674931883811951,0.01251302766652201,2.108633114034161,-0.7674932016228007,26.0,16.0,34.0,2.244,3233997642.0,3233997642.0,-20.0
0.01755142770707607,2.873172044754028,0.06670781970024109,0.0175514280108893,2.873172116963062,0.06670782323518047,25.0,17.0,35.0,2.874,3233997643.0,3233997643.0,1.33
0.01351220346987247,2.150505542755127,-0.7266655564308167,0.01351220335773661,2.150505656479669,-0.7266655639352724,28.0,18.0,36.0,2.27,3233997644.0,3233997644.0,-18.67
0.01899075135588646,2.94074273109436,0.137141615152359,0.0189907516281073,2.940742683268072,0.1371416135164746,28.0,19.0,37.0,2.944,3233997645.0,3233997645.0,2.6700001
0.01459959335625172,2.201270580291748,-0.6868991851806641,0.01459959375810795,2.20127063159815,-0.6868991616864736,27.0,20.0,38.0,2.306,3233997646.0,3233997646.0,-17.33
0.01995399780571461,3.008587121963501,0.2103855311870575,0.01995399722050002,3.008587005380496,0.2103855248122819,26.0,21.0,38.0,3.016,3233997647.0,3233997647.0,4.0
0.01525839325040579,2.241610288619995,-0.6427863240242004,0.01525839326520776,2.241610344433451,-0.642786313765242,31.0,22.0,39.0,2.332,3233997649.0,3233997649.0,-16.0
0.02146491780877113,3.074573278427124,0.2868503034114838,0.02146491867934678,3.074573168498982,0.2868502898939063,21.0,23.0,40.0,3.088,3233997650.0,3233997650.0,5.3299999
0.01619868166744709,2.263659238815308,-0.5926083922386169,0.01619868190454934,2.2636591828996,-0.5926083920928477,28.0,24.0,41.0,2.34,3233997651.0,3233997651.0,-14.67
0.02300702035427094,3.138527631759644,0.3670362234115601,0.02300702054462308,3.138527536322462,0.3670362117711525,27.0,25.0,42.0,3.16,3233997652.0,3233997652.0,6.6700001
0.01689053140580654,2.304140090942383,-0.5459643006324768,0.01689053172384272,2.304140113040306,-0.545964329802499,29.0,26.0,42.0,2.368,3233997653.0,3233997653.0,-13.33
0.02419796958565712,3.22422194480896,0.4531476199626923,0.02419796910780003,3.224222029536215,0.4531476167259731,28.0,27.0,43.0,3.256,3233997654.0,3233997654.0,8.0
0.01814793050289154,2.363134860992432,-0.5023146271705627,0.01814793016291447,2.363134919980987,-0.5023146450157064,26.0,28.0,44.0,2.416,3233997655.0,3233997655.0,-12.0
0.02586950547993183,3.293739795684814,0.5411582589149475,0.02586950455864293,3.293739894193998,0.5411582745637386,30.0,29.0,45.0,3.338,3233997657.0,3233997657.0,9.3299999
0.01931377872824669,2.405596256256104,-0.4532523155212402,0.01931377946533031,2.405596247160615,-0.4532523288076165,27.0,30.0,46.0,2.448,3233997658.0,3233997658.0,-10.67
0.02773027122020721,3.38040828704834,0.6369231939315796,0.02773027129126296,3.380408238696988,0.6369232071479579,24.0,31.0,47.0,3.44,3233997659.0,3233997659.0,10.67
